id,PreCollege,After1,AtEnd
716,ND,LD/MD,LD/MD
717,HD,ND,ND
718,ND,HD,HD
719,ND,HD,LD/MD
720,ND,HD,LD/MD
721,HD,HD,LD/MD
722,HD,LD/MD,HD
723,ND,ND,ND
724,LD/MD,HD,LD/MD
725,ND,LD/MD,LD/MD
726,ND,LD/MD,LD/MD
727,ND,LD/MD,LD/MD
728,ND,HD,LD/MD
729,LD/MD,LD/MD,LD/MD
730,LD/MD,LD/MD,HD
731,HD,LD/MD,HD
732,ND,LD/MD,ND
733,LD/MD,HD,LD/MD
734,ND,HD,LD/MD
735,ND,LD/MD,LD/MD
736,ND,LD/MD,LD/MD
737,ND,HD,LD/MD
738,ND,HD,LD/MD
739,ND,LD/MD,LD/MD
740,LD/MD,LD/MD,LD/MD
741,HD,LD/MD,HD
742,ND,LD/MD,LD/MD
743,LD/MD,ND,HD
744,ND,HD,LD/MD
745,LD/MD,ND,HD
746,ND,HD,HD
747,HD,LD/MD,HD
748,ND,HD,LD/MD
749,LD/MD,ND,HD
750,ND,LD/MD,LD/MD
751,ND,LD/MD,LD/MD
752,ND,LD/MD,LD/MD
753,HD,HD,ND
754,ND,LD/MD,LD/MD
755,HD,HD,ND
756,LD/MD,ND,HD
757,ND,ND,ND
758,ND,LD/MD,ND
759,ND,LD/MD,LD/MD
760,ND,ND,ND
761,ND,HD,ND
762,ND,LD/MD,HD
763,ND,HD,LD/MD
764,LD/MD,ND,LD/MD
765,ND,HD,HD
766,ND,ND,ND
767,ND,HD,LD/MD
768,ND,LD/MD,LD/MD
769,ND,LD/MD,LD/MD
770,ND,LD/MD,HD
771,ND,LD/MD,HD
772,HD,LD/MD,HD
773,ND,ND,ND
774,ND,HD,LD/MD
775,ND,LD/MD,ND
776,ND,LD/MD,ND
777,ND,LD/MD,LD/MD
778,LD/MD,LD/MD,HD
779,HD,HD,LD/MD
780,ND,ND,HD
781,ND,HD,LD/MD
782,ND,LD/MD,LD/MD
783,ND,LD/MD,LD/MD
784,ND,LD/MD,LD/MD
785,ND,ND,ND
786,ND,LD/MD,LD/MD
787,HD,LD/MD,HD
788,ND,LD/MD,LD/MD
789,LD/MD,LD/MD,LD/MD
790,HD,ND,HD
791,ND,LD/MD,LD/MD
792,ND,HD,LD/MD
